Experiment ID,18215.0,
Experiment name,Exatrcting phases of clusters ,
Job,0ad4a7c2-7af9-4a21-9184-710bedf20d54,
Submitted,2022-11-10T10:19:26.220655923,Finished,2022-11-10T10:19:26.361670197,
Method,FFT NLLS,
Params,no dtr min-max p(18.0-34.0),


Summary statistics,
Phase/Amplitude method,by averaged peaks,

Group Label,N,,Period,Period Std,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Std,Abs Phase To Zero,Abs Phase To Window,Abs Phase Std,,Amplitude,Amplitude Std,,GOF,ERR,
1.0,1,,27.47,0.0,,20.71,20.71,0.0,23.7,23.7,0.0,,0.24,0.0,,0.63,0.23,
2.0,1,,24.93,0.0,,23.28,23.28,0.0,24.18,24.18,0.0,,0.29,0.0,,0.44,0.15,
3.0,1,,25.4,0.0,,22.58,22.58,0.0,23.9,23.9,0.0,,0.19,0.0,,0.64,0.25,
4.0,1,,35.6,0.0,,15.57,15.57,0.0,23.1,23.1,0.0,,0.2,0.0,,0.79,0.27,
5.0,1,,33.31,0.0,,16.72,16.72,0.0,23.2,23.2,0.0,,0.24,0.0,,0.72,0.25,
6.0,0,,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,NaN,NaN,

Individual Results,
Phase/Amplitude method,by averaged peaks,

Data Ref,Data Label,Status,,Period,Period Err,,Circ. Phase To Zero,Circ. Phase To Window,Circ. Phase Err,Abs Phase To Zero,Abs Phase To Window,Abs Phase Err,,Amplitude,Amplitude Err,,GOF,ERR,
1. [B2],1.0,,,27.47,2.92,,20.71,20.71,20.56,23.7,23.7,23.53,,0.24,0.054332,,0.63,0.23,
2. [B3],2.0,,,24.93,1.11,,23.28,23.28,1.31,24.18,24.18,1.36,,0.29,0.043726,,0.44,0.15,
3. [B4],3.0,,,25.4,2.12,,22.58,22.58,2.43,23.9,23.9,2.57,,0.19,0.047999,,0.64,0.25,
4. [B5],4.0,,,35.6,4.14,,15.57,15.57,39.51,23.1,23.1,58.61,,0.2,0.054323,,0.79,0.27,
5. [B6],5.0,,,33.31,3.31,,16.72,16.72,2.91,23.2,23.2,4.03,,0.24,0.060426,,0.72,0.25,
6. [B7],6.0,FAILED Could not establish confidence intervals due to failed convergence,
